idx,State,PctBachelorsDegree
0,Wyoming,23.8
1,Minnesota,31.5
2,Alaska,26.6
3,New Hampshire,32.0
4,Vermont,33.1
5,Montana,27.4
6,Iowa,25.1
7,Hawaii,29.6
8,Utah,28.5
9,Maine,26.9
10,North Dakota,25.8
11,South Dakota,25.1
12,Nebraska,27.4
13,Wisconsin,25.7
14,Kansas,29.5
15,Washington,31.0
16,Colorado,35.9
17,Oregon,29.2
18,Massachusetts,38.2
19,Connecticut,35.6
20,Idaho,23.9
21,Maryland,35.7
22,Michigan,24.6
23,Pennsylvania,26.4
24,Ohio,24.1
25,Delaware,28.7
26,New Jersey,34.5
27,District of Columbia,48.5
28,Missouri,25.2
29,Indiana,22.5
30,Virginia,34.0
31,Illinois,30.6
32,Oklahoma,22.7
33,Florida,25.3
34,New York,32.4
35,Rhode Island,30.5
36,North Carolina,26.5
37,Arizona,25.6
38,Georgia,27.5
39,Nevada,21.8
40,South Carolina,24.3
41,Tennessee,23.0
42,New Mexico,25.3
43,West Virginia,17.3
44,Arkansas,18.9
45,Louisiana,21.4
46,Alabama,22.0
47,Kentucky,21.0
48,California,29.9
49,Mississippi,19.6
50,Texas,25.5
