State,TotalGDP
Alabama,193566
Alaska,59355
Arizona,279024
Arkansas,124218
California,2202678
Colorado,294443
Connecticut,249251
Delaware,62703
District of Columbia,113362
Florida,800492
Georgia,454532
Hawaii,75235
Idaho,62247
Illinois,720692
Indiana,317102
Iowa,165767
Kansas,144062
Kentucky,183373
Louisiana,253576
Maine,54755
Maryland,342382
Massachusetts,446323
Michigan,432573
Minnesota,312081
Mississippi,105163
Missouri,276345
Montana,44040
Nebraska,109614
Nevada,132024
New Hampshire,67848
New Jersey,543071
New Mexico,92245
New York,1310712
North Carolina,471365
North Dakota,56329
Ohio,565272
Oklahoma,182086
Oregon,219590
Pennsylvania,644915
Rhode Island,53184
South Carolina,183561
South Dakota,46732
Tennessee,287633
Texas,1532623
Utah,141240
Vermont,29509
Virginia,452585
Washington,408049
West Virginia,73970
Wisconsin,282486
Wyoming,45432
