idx,State,Hispanic
0,United States,0.18
1,Alabama,0.04
2,Alaska,0.09
3,Arizona,0.39
4,Arkansas,0.07
5,California,0.38
6,Colorado,0.21
7,Connecticut,0.13
8,Delaware,0.1
9,District of Columbia,0.11
10,Florida,0.25
11,Georgia,0.1
12,Hawaii,0.09
13,Idaho,0.13
14,Illinois,0.16
15,Indiana,0.09
16,Iowa,0.05
17,Kansas,0.12
18,Kentucky,0.04
19,Louisiana,0.06
20,Maine,0.01
21,Maryland,0.08
22,Massachusetts,0.11
23,Michigan,0.06
24,Minnesota,0.06
25,Mississippi,0.03
26,Missouri,0.04
27,Montana,0.03
28,Nebraska,0.11
29,Nevada,0.28
30,New Hampshire,0.03
31,New Jersey,0.19
32,New Mexico,0.43
33,New York,0.18
34,North Carolina,0.1
35,North Dakota,0.03
36,Ohio,0.03
37,Oklahoma,0.11
38,Oregon,0.12
39,Pennsylvania,0.07
40,Rhode Island,0.12
41,South Carolina,0.06
42,South Dakota,0.02
43,Tennessee,0.06
44,Texas,0.38
45,Utah,0.12
46,Vermont,0.01
47,Virginia,0.08
48,Washington,0.13
49,West Virginia,0.01
50,Wisconsin,0.08
51,Wyoming,0.09
