idx,State,PctHighSchoolDiploma
0,Wyoming,91.8
1,Minnesota,91.5
2,Alaska,91.4
3,New Hampshire,91.3
4,Vermont,91.0
5,Montana,90.8
6,Iowa,91.4
7,Hawaii,90.4
8,Utah,90.4
9,Maine,90.2
10,North Dakota,90.1
11,South Dakota,89.9
12,Nebraska,89.8
13,Wisconsin,89.8
14,Kansas,89.7
15,Washington,89.7
16,Colorado,89.3
17,Oregon,89.1
18,Massachusetts,89.0
19,Connecticut,88.6
20,Idaho,88.4
21,Maryland,88.2
22,Michigan,87.9
23,Pennsylvania,87.9
24,Ohio,87.6
25,Delaware,87.4
26,New Jersey,87.4
27,District of Columbia,87.1
28,Missouri,86.8
29,Indiana,86.6
30,Virginia,86.6
31,Illinois,86.4
32,Oklahoma,85.6
33,Florida,85.3
34,New York,84.7
35,Rhode Island,84.7
36,North Carolina,84.3
37,Arizona,84.2
38,Georgia,83.9
39,Nevada,83.9
40,South Carolina,83.6
41,Tennessee,83.1
42,New Mexico,82.8
43,West Virginia,82.8
44,Arkansas,82.4
45,Louisiana,82.2
46,Alabama,82.1
47,Kentucky,81.7
48,California,80.6
49,Mississippi,80.4
50,Texas,79.9
