idx,State,POPESTIMATE2015
5,Alabama,4858979
6,Alaska,738432
7,Arizona,6828065
8,Arkansas,2978204
9,California,39144818
10,Colorado,5456574
11,Connecticut,3590886
12,Delaware,945934
13,District of Columbia,672228
14,Florida,20271272
15,Georgia,10214860
16,Hawaii,1431603
17,Idaho,1654930
18,Illinois,12859995
19,Indiana,6619680
20,Iowa,3123899
21,Kansas,2911641
22,Kentucky,4425092
23,Louisiana,4670724
24,Maine,1329328
25,Maryland,6006401
26,Massachusetts,6794422
27,Michigan,9922576
28,Minnesota,5489594
29,Mississippi,2992333
30,Missouri,6083672
31,Montana,1032949
32,Nebraska,1896190
33,Nevada,2890845
34,New Hampshire,1330608
35,New Jersey,8958013
36,New Mexico,2085109
37,New York,19795791
38,North Carolina,10042802
39,North Dakota,756927
40,Ohio,11613423
41,Oklahoma,3911338
42,Oregon,4028977
43,Pennsylvania,12802503
44,Rhode Island,1056298
45,South Carolina,4896146
46,South Dakota,858469
47,Tennessee,6600299
48,Texas,27469114
49,Utah,2995919
50,Vermont,626042
51,Virginia,8382993
52,Washington,7170351
53,West Virginia,1844128
54,Wisconsin,5771337
55,Wyoming,586107
56,Puerto Rico,3474182
